ITEM_SEQ,ITEM_NAME,ENTP_NAME,CHARTN,DRUG_SHAPE,COLOR_CLASS1,COLOR_CLASS2,PRINT_FRONT,PRINT_BACK,ETC_OTC_CODE,ITEM_ENG_NAME,CLASS_NO,LENG_LONG,LENG_SHORT,THICK,SOURCE_YEAR,RAG_TEXT
202300927,가네리드정(테노포비르알라페나미드헤미말산염),한국휴텍스제약(주),노란색의 원형 필름코팅정,원형,주황,,GN,25,전문의약품,Ganelid Tab.,3910.0,8.1,8.1,4.2,2023,가네리드정(테노포비르알라페나미드헤미말산염) | 제조사: 한국휴텍스제약(주) | 모양: 원형 | 색상: 주황 | 각인: GN 25 | 전문의약품 | 노란색의 원형 필름코팅정
202401342,가바뉴로서방정75밀리그램(프레가발린),한림제약(주),이 약은 흰색 내지 미황색 장방형의 필름코팅된 서방성 삼층정제이다.,장방형,하양,,HL75,,전문의약품,GABANEURO CR Tab. 75mg,1190.0,13.2,7.6,5.6,2024,가바뉴로서방정75밀리그램(프레가발린) | 제조사: 한림제약(주) | 모양: 장방형 | 색상: 하양 | 각인: HL75 | 전문의약품 | 이 약은 흰색 내지 미황색 장방형의 필름코팅된 서방성 삼층정제이다.
202201236,가브레토캡슐100밀리그램(프랄세티닙),(주)한국로슈,"백색-황백색 가루가 든, 바디에 “BLU-667”, 캡에 “100mg” 흰색으로 각인된 불투명한 밝은 파란색의 캡슐",장방형,파랑,파랑,100mgBLU-667,,"전문,희귀",Gavreto Capsule 100mg (pralsetinib),4210.0,21.1,7.1,7.6,2022,"가브레토캡슐100밀리그램(프랄세티닙) | 제조사: (주)한국로슈 | 모양: 장방형 | 색상: 파랑 파랑 | 각인: 100mgBLU-667 | 전문,희귀 | 백색-황백색 가루가 든, 바디에 “BLU-667”, 캡에 “100mg” 흰색으로 각인된 불투명한 밝은 파란색의 캡슐"
202200347,가블리정(빌다글립틴),신풍제약(주),흰색 내지 밝은 노란빛을 띄는 원형정제,원형,하양,,마크,VG,전문의약품,Gavely tablet,3960.0,6.6,6.6,3.1,2022,가블리정(빌다글립틴) | 제조사: 신풍제약(주) | 모양: 원형 | 색상: 하양 | 각인: 마크 VG | 전문의약품 | 흰색 내지 밝은 노란빛을 띄는 원형정제
202300452,가스트릭서방정(록사티딘아세테이트염산염),대화제약(주),흰색의 원형 서방성 필름코팅정,원형,하양,,RSΛ,,전문의약품,Gastric XR Tab.,2320.0,9.1,9.1,4.1,2023,가스트릭서방정(록사티딘아세테이트염산염) | 제조사: 대화제약(주) | 모양: 원형 | 색상: 하양 | 각인: RSΛ | 전문의약품 | 흰색의 원형 서방성 필름코팅정
202400970,가스트릭서방정37.5밀리그램(록사티딘아세테이트염산염),대화제약(주),흰색의 원형 서방성 필름코팅정,원형,하양,하양,마크,37,전문의약품,Gastric XR Tab 37.5mg,2320.0,6.6,6.6,4.1,2024,가스트릭서방정37.5밀리그램(록사티딘아세테이트염산염) | 제조사: 대화제약(주) | 모양: 원형 | 색상: 하양 하양 | 각인: 마크 37 | 전문의약품 | 흰색의 원형 서방성 필름코팅정
202102261,가스트큐정(반하사심탕),(주)알피바이오,갈색의 장방형 코팅정제,장방형,갈색,,GAS,,일반의약품,,2390.0,14.2,8.2,6.0,2021,가스트큐정(반하사심탕) | 제조사: (주)알피바이오 | 모양: 장방형 | 색상: 갈색 | 각인: GAS | 일반의약품 | 갈색의 장방형 코팅정제
202300140,건카브정30/2.5밀리그램,건일바이오팜주식회사,흰색의 모서리가 둥근 사각형 필름코팅정,사각형,하양,,2K32,,전문의약품,Kuhnkarb Tab. 30/2.5mg,2140.0,6.6,6.6,3.7,2023,건카브정30/2.5밀리그램 | 제조사: 건일바이오팜주식회사 | 모양: 사각형 | 색상: 하양 | 각인: 2K32 | 전문의약품 | 흰색의 모서리가 둥근 사각형 필름코팅정
202300111,건카브정60/2.5밀리그램,건일바이오팜주식회사,노란색의 모서리가 둥근 사각형 필름코팅정,사각형,노랑,,2K62,,전문의약품,Kuhnkarb Tab. 60/2.5mg,2140.0,7.7,7.7,4.5,2023,건카브정60/2.5밀리그램 | 제조사: 건일바이오팜주식회사 | 모양: 사각형 | 색상: 노랑 | 각인: 2K62 | 전문의약품 | 노란색의 모서리가 둥근 사각형 필름코팅정
202300091,건카브정60/5밀리그램,건일바이오팜주식회사,주황색의 모서리가 둥근 사각형 필름코팅정,사각형,주황,,2K65,,전문의약품,Kuhnkarb Tab. 60/5mg,2140.0,8.7,8.7,4.7,2023,건카브정60/5밀리그램 | 제조사: 건일바이오팜주식회사 | 모양: 사각형 | 색상: 주황 | 각인: 2K65 | 전문의약품 | 주황색의 모서리가 둥근 사각형 필름코팅정
202202359,건폴렉스캡슐2밀리그램(폴마콕시브),건일바이오팜주식회사,흰색에서 연한 노란색 가루가 든 상하부 흰색의 경질캡슐제,장방형,하양,하양,2K POL,,전문의약품,kuhpolex Cap. 2mg,1140.0,18.9,6.3,6.7,2022,건폴렉스캡슐2밀리그램(폴마콕시브) | 제조사: 건일바이오팜주식회사 | 모양: 장방형 | 색상: 하양 하양 | 각인: 2K POL | 전문의약품 | 흰색에서 연한 노란색 가루가 든 상하부 흰색의 경질캡슐제
