"ITEM_SEQ","ITEM_NAME","ENTP_SEQ","ENTP_NAME","CHARTN","ITEM_IMAGE","PRINT_FRONT","PRINT_BACK","DRUG_SHAPE","COLOR_CLASS1","COLOR_CLASS2","LINE_FRONT","LINE_BACK","LENG_LONG","LENG_SHORT","THICK","IMG_REGIST_TS","CLASS_NO","ETC_OTC_CODE","ITEM_PERMIT_DATE","SHAPE_CODE","MARK_CODE_FRONT_ANAL","MARK_CODE_BACK_ANAL","MARK_CODE_FRONT_IMG","MARK_CODE_BACK_IMG","ITEM_ENG_NAME","EDI_CODE"
"202400366","메가원플러스정","19580012","하나제약(주)","적색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFs8dk","HNV","","타원형","갈색","","","","17.2","10.2","8.0","2024-04-22","03190","일반의약품","2024-02-21","010201","","","","","Megaone Plus Tab.",""
"202401442","메가로수틴정2.5밀리그램(로수바스타틴칼슘)","20204683","(주)엘앤씨바이오","분홍색의 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUckmw","마크","2.5","원형","분홍","","","","5.7","5.7","3.1","2024-08-05","02180","전문의약품","2024-06-13","010201","","","","","Mega Rosutin Tab. 2.5mg","060500960"
"202401842","탄탄정20밀리그램(타다라필)","20204683","(주)엘앤씨바이오","분할선을 가진 노란색의 모서리가 둥근 삼각형 모양의 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcknm","L분할선T","20","삼각형","주황","","-","","15.2","7.1","4.4","2024-08-29","02590","전문의약품","2024-07-30","010201","","","","","Megatantan tablet 20mg",""
"202401843","탄탄정5밀리그램(타다라필)","20204683","(주)엘앤씨바이오","분할선을 가진 노란색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUckoV","L분할선T","5","타원형","주황","","-","","7.6","4.5","3.0","2024-08-29","02590","전문의약품","2024-07-30","010201","","","","","Megatantan tablet 5mg",""
"202400435","치렉스정600밀리그램(디오스민)","19760002","경동제약(주)","분홍 또는 연분홍의 원형 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFsA4b","CX","600","원형","분홍","","","","13.2","13.2","7.4","2024-05-30","02150","일반의약품","2024-02-29","010201","","","","","Chirex Tab. 600mg",""
"202400425","니고린정30밀리그램(니세르골린)","19620006","국제약품(주)","황색의 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFsAJn","KJ3","분할선","원형","노랑","","","-","8.1","8.1","3.6","2024-04-08","02190","전문의약품","2024-02-29","010201","","","","","NIGOLINE tab.","643705550"
"202400025","트라케이듀오서방정2.5/1000밀리그램(리나글립틴,메트포르민염산염)","20020017","주식회사제뉴원사이언스","노란색의 타원형 서방성 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFs8IM","X2/1","","타원형","노랑","","","","21.4","10.4","7.8","2024-05-22","03960","전문의약품","2024-01-04","010502","","","","","Tra-k duo XR Tablet 2.5/1000mg","671707380"
"202400024","트라케이듀오서방정5/1000밀리그램(리나글립틴,메트포르민염산염)","20020017","주식회사제뉴원사이언스","흰색의 타원형 서방성 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFs8Ho","X5/1","","타원형","하양","","","","21.4","10.4","8.0","2024-05-22","03960","전문의약품","2024-01-04","010502","","","","","Tra-k duo XR Tablet 5/1000mg","671707370"
"202400920","마이펜엑스정","19650002","코오롱제약(주)","흰색의 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFsAMb","KL","","원형","하양","","","","10.1","10.1","4.3","2024-06-18","01140","일반의약품","2024-04-22","010201","","","","","myfenx Tab.",""
"202400572","퓨어펜연질캡슐","19570018","경남제약(주)","일부분 황색의 유상내용물, 일부분 무색의 투명한 액을 함유한 주황색의 타원형 연질캡슐","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFsAPP","KN24","","타원형","주황","","","","15.0","9.5","9.5","2024-06-18","01140","일반의약품","2024-03-19","020201","","","","","Purephen Soft Cap.",""
"202400002","파워비큐콘티뉴800정","19570018","경남제약(주)","갈색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFsAOH","KN","800","타원형","빨강","","","","19.8","10.2","7.4","2024-04-26","03190","일반의약품","2024-01-02","010201","","","","","PowerBQ Continue800 Tab.",""
"202400212","트라부틴정200밀리그램(트리메부틴말레산염)","19570018","경남제약(주)","연한 노란색의 원형정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFsAOr","KN","TM분할선200","원형","노랑","","","-","8.5","8.5","4.1","2024-05-13","02390","일반의약품","2024-01-29","010101","","","","","Trabutine Tab. 200mg(Trimebutine Maleate)",""
"202401517","트립리신정","20163305","(주)라이트팜텍","흰색의 원형 필림코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUckuS","TBT","","원형","하양","","","","9.0","9.0","4.1","2024-08-30","03950","일반의약품","2024-06-24","010201","","","","","Tryprisin Tab.",""
"202401409","비타씨디정","20182432","명문바이오(주)","흰색 또는 미황색의 장방형 정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUckvA","ASC400","","장방형","하양","하양","","","20.8","8.7","6.6","2024-08-29","03160","일반의약품","2024-06-05","010101","","","","","Vita CD Tablets",""
"202401038","비타임트리플엠지정","20130095","메딕스제약(주)","갈색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUckvl","BTM","","타원형","갈색","","","","19.8","10.3","7.1","2024-10-02","03190","일반의약품","2024-04-30","010201","","","","","B-Time TripleMg Tab.",""
"202400843","클로하이정","19700002","진양제약(주)","흰색의 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PG7JlTH9P8","CEC","","원형","하양","하양","","","10.1","10.1","4.4","2024-08-12","01140","일반의약품","2024-04-15","010201","","","","","Chlo High Tab.",""
"202400786","투엠비액티브정","20130095","메딕스제약(주)","담황색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUckxM","MCA","","장방형","주황","","","","19.4","9.3","7.8","2024-08-12","","일반의약품","2024-04-08","010201","","","","","TwoM.V.  Activ Tab.",""
"202401704","스토포스정(반하사심탕)","20130095","메딕스제약(주)","갈색의 장방형 코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUckyb","SF","","장방형","갈색","","","","14.2","8.2","6.0","2024-10-25","02390","일반의약품","2024-07-10","010201","","","","","Stoforce Tab.",""
"202401723","다미쏙캡슐(작약감초탕)","20130095","메딕스제약(주)","갈색의 분말이 충진된 상부 연청색, 하부 담청색의 캡슐","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUckzE","PA GU","","장방형","파랑","파랑","","","21.1","7.3","7.3","2024-10-25","01140","일반의약품","2024-07-12","020102","","","","","Damissok Cap.",""
"202401820","펠로정20밀리그램(메만틴염산염)","19690005","명인제약(주)","분홍색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcl1V","F분할선20","","타원형","분홍","","-","-","11.6","6.5","4.9","2024-08-20","01190","전문의약품","2024-07-29","010201","","","","","Fello Tab. 20mg","651905350"
"202401410","알러피드정","19960030","(주)넥스팜코리아","백색의 원형정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUclFp","NK11","","원형","하양","","-","","8.6","8.6","3.6","2024-08-05","01410","일반의약품","2024-06-05","010101","","","","","Allerpeed Tab.",""
"202400960","자큐보정20밀리그램(자스타프라잔시트르산염)","2024005363","온코닉테라퓨틱스(주)","분홍색의 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUclJC","Z20","","원형","분홍","분홍","","","8.1","8.1","4.1","2024-09-13","02320","전문의약품","2024-04-24","010201","","","","","JAQBO Tab. 20mg(Zastaprazan citrate)","078600010"
"202402300","리트풀로캡슐50밀리그램(리틀레시티닙토실산염)","20160560","한국화이자제약(주)","흰색, 회백색 또는 연한 분홍색의 가루가 든 상부 노란색, 하부 파란색의 불투명한 캡슐제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUclJm","마크 RCB 50","","장방형","노랑","청록","","","15.5","5.6","5.6","2024-11-20","02670","전문의약품","2024-09-24","020101","pfizer","","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938657883200003","","Litfulo Capsules 50mg",""
"202402338","아라텍트캡슐100/5밀리그램(아스피린,라베프라졸)","19600004","(주)한국파마","흰색의 장용성 정제 및 노란색의 장용성 정제가 든 연한 노란색의 경질캡슐이다.","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUclK_","마크 2+","","","노랑","","","","19.1","6.6","6.6","2024-10-29","02190","전문의약품","2024-09-27","020103","kp","","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938654295100062","","Aratect Cap.100/5mg","653007010"
