"ITEM_SEQ","ITEM_NAME","ENTP_SEQ","ENTP_NAME","CHARTN","ITEM_IMAGE","PRINT_FRONT","PRINT_BACK","DRUG_SHAPE","COLOR_CLASS1","COLOR_CLASS2","LINE_FRONT","LINE_BACK","LENG_LONG","LENG_SHORT","THICK","IMG_REGIST_TS","CLASS_NO","ETC_OTC_CODE","ITEM_PERMIT_DATE","SHAPE_CODE","MARK_CODE_FRONT_ANAL","MARK_CODE_BACK_ANAL","MARK_CODE_FRONT_IMG","MARK_CODE_BACK_IMG","ITEM_ENG_NAME","EDI_CODE"
"202500072","카리포맨연질캡슐(쿠쿠르비트종자유엑스(15~25→1))","19560004","(주)유한양행","진녹색의 유상액이 든 암갈색의 타원형 연질캡슐","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PO7Ab2a-pM","YH CC","","타원형","갈색","갈색","","","14.7","9.5","9.5","2025-04-04","02590","일반의약품","2025-01-08","020201","","","","","Cariforman Soft Capsule(Cucurbit Semen Oil Extract(15~25->1))",""
"202500294","나라두구강붕해정2.5밀리그램(나라트립탄염산염)","19830008","대웅바이오(주)","흰색 또는 연한 노란색의 원형 구강붕해정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PQ8-wS6itl","NR","","원형","하양","하양","","","10.6","10.6","4.0","2025-04-29","01140","전문의약품","2025-02-12","010901","","","","","Naradu ODT 2.5mg (Naratriptan Hydrochloride)","694004510"
"202500454","아토미브정10/5밀리그램(에제티미브,아토르바스타틴칼슘삼수화물)","19540006","일동제약(주)","흰색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PQ8-wS6iuO","ID","105","장방형","하양","","","","11.0","5.3","4.0","2025-04-29","02180","전문의약품","2025-02-28","010201","","","","","Atomibe tablet 10/5mg","642906920"
"202500153","파워콜노즈큐연질캡슐","19570006","동화약품(주)","미황색(연노랑) 내지 주황색의 투명한 내용물을 함유한 주황색의 투명한 장방형 연질캡슐","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PbaZonp25c","D-W PNQ","","타원형","주황","","","","","","","2025-04-29","01140","일반의약품","2025-01-20","020201","","","","","POWERCOL-NoseQ Soft Capsules",""
"202500496","동화니세르골린정10밀리그램(니세르골린)","19570006","동화약품(주)","흰색의 원형 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PRHGzqJTrj","DD","","원형","하양","","","","5.5","5.5","2.6","2025-05-13","02190","전문의약품","2025-03-05","010201","","","","","Dongwha Nicergoline Tab. 10mg(Nicergoline)","642707760"
"202500590","네오칸데정4밀리그램(칸데사르탄실렉세틸)","19910005","(주)녹십자","백색에서 회백색의 양면이 볼록한 원형 정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PRHGzqJTsl","4C","GC","원형","하양","","","","5.0","5.0","2.8","2025-05-13","02140","전문의약품","2025-03-17","010101","","","","","Neo Cande Tab. 4mg","643606840"
"202501021","이리스탑정2.5마이크로그램(라모세트론염산염)","20050016","(주)한국팜비오","분홍색의 원형 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PRHGzqJTu7","P","25","원형","분홍","분홍","","","5.6","5.6","2.8","2025-05-13","02390","전문의약품","2025-04-28","010201","","","","","Irristop tablet 2.5mcg (Ramosetron HCl)","659902050"
"202500564","란스타정15/600밀리그램(란소프라졸,침강탄산칼슘)","19660002","명문제약(주)","노란색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PRHGzqJTux","MM","15","타원형","주황","","","","15.0","7.5","4.8","2025-05-13","02320","전문의약품","2025-03-14","010201","","","","","Lanstar Tab. 15/600mg","649808310"
"202500554","비타리본정","20180404","대원바이오텍주식회사","분홍색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PRHGzqJTvr","CIU","","장방형","분홍","","","","16.1","7.8","5.0","2025-05-13","03210","일반의약품","2025-03-13","010201","","","","","Vita-Ribbon tablet","057601020"
"202500641","유칼본정","19970003","한국넬슨제약(주)","분홍색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PRHGzqJTxd","NS4","","장방형","분홍","","","","16.1","7.8","4.9","2025-05-13","01140","일반의약품","2025-03-20","010201","","","","","youcalbontablet","656702360"
"202500734","트루다파정5밀리그램(다파글리플로진비스L-프롤린)","19880005","(주)보령","노란색의 양면이 볼록한 원형의 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PRMRNQo5Gq","BD","5","원형","주황","","","","7.0","7.0","3.2","2025-05-14","03960","전문의약품","2025-03-31","010201","","","","","Trudapa Tab. 5mg(Dapagliflozin Bis L-proline)","641908660"
"202500148","타발리스정100밀리그램(포스타마티닙나트륨수화물)","20162589","제이더블유중외제약(주)","연한 황적색의 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PRMRNQo5Hy","R","100","원형","분홍","","","","9.1","9.1","4.7","2025-05-14","03390","전문,희귀","2025-01-20","010201","","","","","Tavalisse Tab. 100mg","644915270"
"202500147","타발리스정150밀리그램(포스타마티닙나트륨수화물)","20162589","제이더블유중외제약(주)","연한 황적색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PRMRNQo5J4","R","150","타원형","분홍","","","","14.6","7.3","5.5","2025-05-14","03390","전문,희귀","2025-01-20","010201","","","","","Tavalisse Tab. 150mg","644915260"
"202500258","이든메만틴정20밀리그램(메만틴염산염)","20141181","(주)이든파마","분홍색의 타원형 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PMhf_ebkS3","2N","20","타원형","분홍","","","","13.0","7.0","4.6","2025-03-17","01190","전문의약품","2025-02-07","010201","","","","","Eden memantine Tab. 20mg","628902460"
"202500223","에자틴정20밀리그램(메만틴염산염)","19580003","알보젠코리아(주)","분홍색의 타원형 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PMhf_ebkSs","EN","20","타원형","분홍","","","","13.1","7.0","4.5","2025-03-17","01190","전문의약품","2025-02-04","010201","","","","","Eisatine Tablet 20mg(Memantine Hydrochloride)","652607400"
"202500690","콜레시움정","19560008","(주)메디카코리아","분홍색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PRrFJsSsvl","CHC","","장방형","분홍","","","","16.2","7.9","5.0","2025-05-20","03190","일반의약품","2025-03-25","010201","","","","","Cholecium Tab.",""
"202500976","칼앤디정","19550019","엔비케이제약(주)","황갈색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PUZO9zSrPS","NBK","78","타원형","분홍","","","","15.2","7.4","5.7","2025-06-23","03110","일반의약품","2025-04-23","010201","","","","","Calndi tab.","054801600"
"202501135","엠파콤비서방정10/1000밀리그램(엠파글리플로진,메트포르민)","19590001","(주)에이프로젠바이오로직스","노란색의 장방형 서방성 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PW_-aISA6X","마크10/1000","","타원형","노랑","","","","20.2","10.2","8.9","2025-06-23","03960","전문의약품","2025-05-09","010502","","","","","Empacombi XR Tab. 10/1000mg(Empagliflozin,Metformin)","645211080"
"202500764","엠파콤비서방정25/1000밀리그램(엠파글리플로진,메트포르민)","19590001","(주)에이프로젠바이오로직스","분홍색의 장방형 서방성 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PW_-aISA76","마크25/1000","","타원형","분홍","","","","20.2","10.2","8.9","2025-06-23","03960","전문의약품","2025-04-01","010502","","","","","Empacombi XR Tab. 25/1000mg(Empagliflozin,Metformin)","645211070"
"202500017","아이비즈헬스연질캡슐","19560015","신일제약(주)","주황색의 내용물을 함유한 청색의 타원형 연질캡슐제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PUZO9zSrSj","EBH","","타원형","파랑","","","","16.7","9.6","9.6","2025-06-23","03190","일반의약품","2025-01-03","020201","","","","","Eyebeads Gold softcapsule",""
"202500868","크레아베이직정","19660002","명문제약(주)","노란색의 타원형 장용코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PUZO9zSrWP","MMP1","","타원형","주황","","","","14.5","7.6","6.2","2025-06-23","02330","일반의약품","2025-04-14","010602","","","","","Crea Basic Tablet 25000",""
"202500929","크레아포르테정","19660002","명문제약(주)","갈색의 타원형 장용코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PUZO9zSrYE","MMP3","","타원형","주황","","","","18.2","9.5","7.8","2025-06-23","02330","일반의약품","2025-04-18","010602","","","","","Crea Forte Tablet 60000",""
"202501331","비보레바서방정150밀리그램(레바미피드)","19570012","(주)비보존제약","흰색의 원형 서방정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PUZO9zSrZE","VVZ","SR","원형","하양","","","","9.2","9.2","3.7","2025-06-24","02320","전문의약품","2025-05-28","010501","","","","","Vivoreba SR Tab. 150mg","658204850"
"202500340","벤포바이타프렌즈정","20130095","메딕스제약(주)","담황색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PUZO9zSrb7","BVF","","장방형","주황","","","","16.3","8.6","6.6","2025-06-24","01140","일반의약품","2025-02-17","010201","","","","","Benfovitafriends Tab.",""
